,seqname,source,feature,start,end,score,strand,frame,ID,Dbxref,Is_circular,Name,gbkey,genome,mol_type,strain,sub-species,gene,gene_biotype,locus_tag,Parent,product,protein_id,transl_table,Note,description,mobile_element_type,gene_synonym
30,CP006706.1,Genbank,CDS,19860,20306,,+,0,cds-AGU53899.1,NCBI_GP:AGU53899.1,,AGU53899.1,CDS,,,,,rplI,,RSAU_000015,gene-RSAU_000015,50S ribosomal protein L9,AGU53899.1,11,,,,
31,CP006706.1,Genbank,gene,20338,21738,,+,,gene-RSAU_000016,,,dnaB,Gene,,,,,dnaB,protein_coding,RSAU_000016,,,,,,,,
32,CP006706.1,Genbank,CDS,20338,21738,,+,0,cds-AGU53900.1,NCBI_GP:AGU53900.1,,AGU53900.1,CDS,,,,,dnaB,,RSAU_000016,gene-RSAU_000016,replicative DNA helicase,AGU53900.1,11,,,,
33,CP006706.1,Genbank,gene,22017,23300,,+,,gene-RSAU_000017,,,purA,Gene,,,,,purA,protein_coding,RSAU_000017,,,,,,,,
34,CP006706.1,Genbank,CDS,22017,23300,,+,0,cds-AGU53901.1,NCBI_GP:AGU53901.1,,AGU53901.1,CDS,,,,,purA,,RSAU_000017,gene-RSAU_000017,adenylosuccinate synthetase%2C putative,AGU53901.1,11,,,,
35,CP006706.1,Genbank,gene,23730,23804,,+,,gene-RSAU_000018,,,RSAU_000018,Gene,,,,,,tRNA,RSAU_000018,,,,,,,,
36,CP006706.1,Genbank,tRNA,23730,23804,,+,,rna-RSAU_000018,,,,tRNA,,,,,,,RSAU_000018,gene-RSAU_000018,tRNA-Glu,,,,,,
37,CP006706.1,Genbank,exon,23730,23804,,+,,exon-RSAU_000018-1,,,,tRNA,,,,,,,RSAU_000018,rna-RSAU_000018,tRNA-Glu,,,,,,
38,CP006706.1,Genbank,gene,23812,23884,,+,,gene-RSAU_000019,,,RSAU_000019,Gene,,,,,,tRNA,RSAU_000019,,,,,,,,
39,CP006706.1,Genbank,tRNA,23812,23884,,+,,rna-RSAU_000019,,,,tRNA,,,,,,,RSAU_000019,gene-RSAU_000019,tRNA-Asp,,,,,,
40,CP006706.1,Genbank,exon,23812,23884,,+,,exon-RSAU_000019-1,,,,tRNA,,,,,,,RSAU_000019,rna-RSAU_000019,tRNA-Asp,,,,,,
41,CP006706.1,Genbank,gene,24497,25198,,+,,gene-RSAU_000020,,,vicR,Gene,,,,,vicR,protein_coding,RSAU_000020,,,,,,,,
42,CP006706.1,Genbank,CDS,24497,25198,,+,0,cds-AGU53902.1,NCBI_GP:AGU53902.1,,AGU53902.1,CDS,,,,,vicR,,RSAU_000020,gene-RSAU_000020,two-component response regulator VicR%2C putative,AGU53902.1,11,,,,
43,CP006706.1,Genbank,gene,25211,27037,,+,,gene-RSAU_000021,,,vicK,Gene,,,,,vicK,protein_coding,RSAU_000021,,,,,,,,
44,CP006706.1,Genbank,CDS,25211,27037,,+,0,cds-AGU53903.1,NCBI_GP:AGU53903.1,,AGU53903.1,CDS,,,,,vicK,,RSAU_000021,gene-RSAU_000021,two-component sensor histidine kinase VicK%2C putative,AGU53903.1,11,,,,
45,CP006706.1,Genbank,gene,27030,28364,,+,,gene-RSAU_000022,,,yycH,Gene,,,,,yycH,protein_coding,RSAU_000022,,,,,,,,
46,CP006706.1,Genbank,CDS,27030,28364,,+,0,cds-AGU53904.1,NCBI_GP:AGU53904.1,,AGU53904.1,CDS,,,,,yycH,,RSAU_000022,gene-RSAU_000022,YycH domain signal transduction protein%2C putative,AGU53904.1,11,,,,
47,CP006706.1,Genbank,gene,28365,29153,,+,,gene-RSAU_000023,,,yycI,Gene,,,,,yycI,protein_coding,RSAU_000023,,,,,,,,
48,CP006706.1,Genbank,CDS,28365,29153,,+,0,cds-AGU53905.1,NCBI_GP:AGU53905.1,,AGU53905.1,CDS,,,,,yycI,,RSAU_000023,gene-RSAU_000023,YycI,AGU53905.1,11,,,,
49,CP006706.1,Genbank,gene,29542,30342,,+,,gene-RSAU_000024,,,yycJ,Gene,,,,,yycJ,protein_coding,RSAU_000024,,,,,,,,
50,CP006706.1,Genbank,CDS,29542,30342,,+,0,cds-AGU53906.1,NCBI_GP:AGU53906.1,,AGU53906.1,CDS,,,,,yycJ,,RSAU_000024,gene-RSAU_000024,YycJ,AGU53906.1,11,by similarity,,,
51,CP006706.1,Genbank,gene,30569,32881,,+,,gene-RSAU_000025,,,sasH,Gene,,,,,sasH,protein_coding,RSAU_000025,,,,,,,,
52,CP006706.1,Genbank,CDS,30569,32881,,+,0,cds-AGU53907.1,NCBI_GP:AGU53907.1,,AGU53907.1,CDS,,,,,sasH,,RSAU_000025,gene-RSAU_000025,cell wall-anchored 5'-nucleotidase family protein SasH,AGU53907.1,11,,,,
53,CP006706.1,Genbank,gene,33113,33610,,-,,gene-RSAU_000026,,,RSAU_000026,Gene,,,,,,protein_coding,RSAU_000026,,,,,,,,
54,CP006706.1,Genbank,CDS,33113,33610,,-,0,cds-AGU53908.1,NCBI_GP:AGU53908.1,,AGU53908.1,CDS,,,,,,,RSAU_000026,gene-RSAU_000026,hypothetical protein,AGU53908.1,11,,,,
55,CP006706.1,Genbank,gene,33249,33728,,+,,gene-RSAU_000027,,,rlmH,Gene,,,,,rlmH,protein_coding,RSAU_000027,,,,,,,,
56,CP006706.1,Genbank,CDS,33249,33728,,+,0,cds-AGU53909.1,NCBI_GP:AGU53909.1,,AGU53909.1,CDS,,,,,rlmH,,RSAU_000027,gene-RSAU_000027,rRNA large subunit methyltransferase H,AGU53909.1,11,,,,
57,CP006706.1,Genbank,gene,33827,34411,,+,,gene-RSAU_000028,,,RSAU_000028,Gene,,,,,,protein_coding,RSAU_000028,,,,,,,,
58,CP006706.1,Genbank,CDS,33827,34411,,+,0,cds-AGU53910.1,NCBI_GP:AGU53910.1,,AGU53910.1,CDS,,,,,,,RSAU_000028,gene-RSAU_000028,hypothetical protein,AGU53910.1,11,,,,
59,CP006706.1,Genbank,gene,34359,34763,,+,,gene-RSAU_000029,,,RSAU_000029,Gene,,,,,,protein_coding,RSAU_000029,,,,,,,,
60,CP006706.1,Genbank,CDS,34359,34763,,+,0,cds-AGU53911.1,NCBI_GP:AGU53911.1,,AGU53911.1,CDS,,,,,,,RSAU_000029,gene-RSAU_000029,hypothetical protein,AGU53911.1,11,,,,
61,CP006706.1,Genbank,gene,34756,35772,,+,,gene-RSAU_000030,,,RSAU_000030,Gene,,,,,,protein_coding,RSAU_000030,,,,,,,,
62,CP006706.1,Genbank,CDS,34756,35772,,+,0,cds-AGU53912.1,NCBI_GP:AGU53912.1,,AGU53912.1,CDS,,,,,,,RSAU_000030,gene-RSAU_000030,hypothetical protein,AGU53912.1,11,,,,
63,CP006706.1,Genbank,gene,35946,36428,,+,,gene-RSAU_000031,,,RSAU_000031,Gene,,,,,,protein_coding,RSAU_000031,,,,,,,,
64,CP006706.1,Genbank,CDS,35946,36428,,+,0,cds-AGU53913.1,NCBI_GP:AGU53913.1,,AGU53913.1,CDS,,,,,,,RSAU_000031,gene-RSAU_000031,hypothetical protein,AGU53913.1,11,,,,
65,CP006706.1,Genbank,gene,36984,37436,,+,,gene-RSAU_000032,,,RSAU_000032,Gene,,,,,,other,RSAU_000032,,,,,frameshift,putative transposase,,
66,CP006706.1,Genbank,gene,37436,37720,,+,,gene-RSAU_000033,,,RSAU_000033,Gene,,,,,,other,RSAU_000033,,,,,frameshift,putative transposase,,
67,CP006706.1,Genbank,gene,37726,37929,,+,,gene-RSAU_000034,,,RSAU_000034,Gene,,,,,,other,RSAU_000034,,,,,frameshift,putative transposase,,
68,CP006706.1,Genbank,gene,37974,38567,,+,,gene-RSAU_000035,,,RSAU_000035,Gene,,,,,,other,RSAU_000035,,,,,frameshift,putative transposase,,
69,CP006706.1,Genbank,gene,38610,39596,,-,,gene-RSAU_000036,,,dus,Gene,,,,,dus,protein_coding,RSAU_000036,,,,,,,,
70,CP006706.1,Genbank,CDS,38610,39596,,-,0,cds-AGU53914.1,NCBI_GP:AGU53914.1,,AGU53914.1,CDS,,,,,dus,,RSAU_000036,gene-RSAU_000036,putative tRNA-dihydrouridine synthase,AGU53914.1,11,,,,
71,CP006706.1,Genbank,gene,40156,40452,,+,,gene-RSAU_000037,,,RSAU_000037,Gene,,,,,,protein_coding,RSAU_000037,,,,,,,,
72,CP006706.1,Genbank,CDS,40156,40452,,+,0,cds-AGU53915.1,NCBI_GP:AGU53915.1,,AGU53915.1,CDS,,,,,,,RSAU_000037,gene-RSAU_000037,TfoX N-terminal domain family protein,AGU53915.1,11,,,,
73,CP006706.1,Genbank,gene,40516,41736,,-,,gene-RSAU_000038,,,RSAU_000038,Gene,,,,,,protein_coding,RSAU_000038,,,,,,,,
74,CP006706.1,Genbank,CDS,40516,41736,,-,0,cds-AGU53916.1,NCBI_GP:AGU53916.1,,AGU53916.1,CDS,,,,,,,RSAU_000038,gene-RSAU_000038,permease%2C putative,AGU53916.1,11,,,,
75,CP006706.1,Genbank,gene,41729,42280,,-,,gene-RSAU_000039,,,RSAU_000039,Gene,,,,,,protein_coding,RSAU_000039,,,,,,,,
76,CP006706.1,Genbank,CDS,41729,42280,,-,0,cds-AGU53917.1,NCBI_GP:AGU53917.1,,AGU53917.1,CDS,,,,,,,RSAU_000039,gene-RSAU_000039,FMN reductase%2C putative,AGU53917.1,11,,,,
77,CP006706.1,Genbank,gene,42393,43253,,+,,gene-RSAU_000040,,,RSAU_000040,Gene,,,,,,protein_coding,RSAU_000040,,,,,,,,
78,CP006706.1,Genbank,CDS,42393,43253,,+,0,cds-AGU53918.1,NCBI_GP:AGU53918.1,,AGU53918.1,CDS,,,,,,,RSAU_000040,gene-RSAU_000040,transcriptional regulator%2C putative,AGU53918.1,11,,,,
79,CP006706.1,Genbank,gene,43877,44338,,+,,gene-RSAU_000041,,,RSAU_000041,Gene,,,,,,protein_coding,RSAU_000041,,,,,,,,
80,CP006706.1,Genbank,CDS,43877,44338,,+,0,cds-AGU53919.1,NCBI_GP:AGU53919.1,,AGU53919.1,CDS,,,,,,,RSAU_000041,gene-RSAU_000041,hypothetical protein,AGU53919.1,11,,,,
81,CP006706.1,Genbank,gene,44769,45683,,-,,gene-RSAU_000042,,,RSAU_000042,Gene,,,,,,protein_coding,RSAU_000042,,,,,,,,
82,CP006706.1,Genbank,CDS,44769,45683,,-,0,cds-AGU53920.1,NCBI_GP:AGU53920.1,,AGU53920.1,CDS,,,,,,,RSAU_000042,gene-RSAU_000042,hypothetical protein,AGU53920.1,11,,,,
83,CP006706.1,Genbank,gene,45862,46416,,+,,gene-RSAU_000043,,,RSAU_000043,Gene,,,,,,protein_coding,RSAU_000043,,,,,,,,
84,CP006706.1,Genbank,CDS,45862,46416,,+,0,cds-AGU53921.1,NCBI_GP:AGU53921.1,,AGU53921.1,CDS,,,,,,,RSAU_000043,gene-RSAU_000043,transcriptional regulator%2C putative,AGU53921.1,11,,,,
85,CP006706.1,Genbank,gene,46710,49861,,+,,gene-RSAU_000044,,,RSAU_000044,Gene,,,,,,other,RSAU_000044,,,,,frameshift,putative helicase,,
86,CP006706.1,Genbank,gene,49889,50626,,+,,gene-RSAU_000047,,,RSAU_000047,Gene,,,,,,protein_coding,RSAU_000047,,,,,,,,
87,CP006706.1,Genbank,CDS,49889,50626,,+,0,cds-AGU53922.1,NCBI_GP:AGU53922.1,,AGU53922.1,CDS,,,,,,,RSAU_000047,gene-RSAU_000047,S-adenosylmethionine-dependent methyltransferase%2C putative,AGU53922.1,11,,,,
88,CP006706.1,Genbank,gene,50782,51264,,+,,gene-RSAU_000048,,,RSAU_000048,Gene,,,,,,protein_coding,RSAU_000048,,,,,,,,
89,CP006706.1,Genbank,CDS,50782,51264,,+,0,cds-AGU53923.1,NCBI_GP:AGU53923.1,,AGU53923.1,CDS,,,,,,,RSAU_000048,gene-RSAU_000048,hypothetical protein,AGU53923.1,11,,,,
90,CP006706.1,Genbank,gene,51470,52456,,+,,gene-RSAU_000049,,,plc,Gene,,,,,plc,protein_coding,RSAU_000049,,,,,,,,
91,CP006706.1,Genbank,CDS,51470,52456,,+,0,cds-AGU53924.1,NCBI_GP:AGU53924.1,,AGU53924.1,CDS,,,,,plc,,RSAU_000049,gene-RSAU_000049,1-phosphatidylinositol phosphodiesterase,AGU53924.1,11,,,,
92,CP006706.1,Genbank,gene,52677,53444,,+,,gene-RSAU_000050,,,RSAU_000050,Gene,,,,,,protein_coding,RSAU_000050,,,,,,,,
93,CP006706.1,Genbank,CDS,52677,53444,,+,0,cds-AGU53925.1,NCBI_GP:AGU53925.1,,AGU53925.1,CDS,,,,,,,RSAU_000050,gene-RSAU_000050,staphylococcal tandem lipoprotein,AGU53925.1,11,,,,
94,CP006706.1,Genbank,gene,53512,54279,,+,,gene-RSAU_000051,,,RSAU_000051,Gene,,,,,,protein_coding,RSAU_000051,,,,,,,,
95,CP006706.1,Genbank,CDS,53512,54279,,+,0,cds-AGU53926.1,NCBI_GP:AGU53926.1,,AGU53926.1,CDS,,,,,,,RSAU_000051,gene-RSAU_000051,staphylococcal tandem lipoprotein,AGU53926.1,11,,,,
96,CP006706.1,Genbank,gene,54331,55101,,+,,gene-RSAU_000052,,,RSAU_000052,Gene,,,,,,protein_coding,RSAU_000052,,,,,,,,
97,CP006706.1,Genbank,CDS,54331,55101,,+,0,cds-AGU53927.1,NCBI_GP:AGU53927.1,,AGU53927.1,CDS,,,,,,,RSAU_000052,gene-RSAU_000052,staphylococcal tandem lipoprotein,AGU53927.1,11,,,,
98,CP006706.1,Genbank,gene,55166,55936,,+,,gene-RSAU_000053,,,RSAU_000053,Gene,,,,,,protein_coding,RSAU_000053,,,,,,,,
99,CP006706.1,Genbank,CDS,55166,55936,,+,0,cds-AGU53928.1,NCBI_GP:AGU53928.1,,AGU53928.1,CDS,,,,,,,RSAU_000053,gene-RSAU_000053,staphylococcal tandem lipoprotein,AGU53928.1,11,,,,
100,CP006706.1,Genbank,gene,55939,56118,,+,,gene-RSAU_000054,,,RSAU_000054,Gene,,,,,,protein_coding,RSAU_000054,,,,,,,,
101,CP006706.1,Genbank,CDS,55939,56118,,+,0,cds-AGU53929.1,NCBI_GP:AGU53929.1,,AGU53929.1,CDS,,,,,,,RSAU_000054,gene-RSAU_000054,hypothetical protein%2C nonsense mutation,AGU53929.1,11,,,,
102,CP006706.1,Genbank,gene,56206,57315,,+,,gene-RSAU_000055,,,RSAU_000055,Gene,,,,,,protein_coding,RSAU_000055,,,,,,,,
103,CP006706.1,Genbank,CDS,56206,57315,,+,0,cds-AGU53930.1,NCBI_GP:AGU53930.1,,AGU53930.1,CDS,,,,,,,RSAU_000055,gene-RSAU_000055,hypothetical protein,AGU53930.1,11,,,,
104,CP006706.1,Genbank,gene,57312,57641,,+,,gene-RSAU_000056,,,RSAU_000056,Gene,,,,,,protein_coding,RSAU_000056,,,,,,,,
105,CP006706.1,Genbank,CDS,57312,57641,,+,0,cds-AGU53931.1,NCBI_GP:AGU53931.1,,AGU53931.1,CDS,,,,,,,RSAU_000056,gene-RSAU_000056,hypothetical protein,AGU53931.1,11,,,,
106,CP006706.1,Genbank,gene,57800,57955,,+,,gene-RSAU_000057,,,RSAU_000057,Gene,,,,,,protein_coding,RSAU_000057,,,,,,,,
107,CP006706.1,Genbank,CDS,57800,57955,,+,0,cds-AGU53932.1,NCBI_GP:AGU53932.1,,AGU53932.1,CDS,,,,,,,RSAU_000057,gene-RSAU_000057,hypothetical protein,AGU53932.1,11,,,,
108,CP006706.1,Genbank,gene,58208,60445,,+,,gene-RSAU_000058,,,RSAU_000058,Gene,,,,,,protein_coding,RSAU_000058,,,,,,,,
109,CP006706.1,Genbank,CDS,58208,60445,,+,0,cds-AGU53933.1,NCBI_GP:AGU53933.1,,AGU53933.1,CDS,,,,,,,RSAU_000058,gene-RSAU_000058,putative AraC family transcriptional regulator,AGU53933.1,11,,,,
110,CP006706.1,Genbank,gene,60596,61774,,+,,gene-RSAU_000059,,,RSAU_000059,Gene,,,,,,protein_coding,RSAU_000059,,,,,,,,
111,CP006706.1,Genbank,CDS,60596,61774,,+,0,cds-AGU53934.1,NCBI_GP:AGU53934.1,,AGU53934.1,CDS,,,,,,,RSAU_000059,gene-RSAU_000059,M20-M25-M40 family peptidase,AGU53934.1,11,,,,
112,CP006706.1,Genbank,gene,61776,63164,,+,,gene-RSAU_000060,,,RSAU_000060,Gene,,,,,,protein_coding,RSAU_000060,,,,,,,,
113,CP006706.1,Genbank,CDS,61776,63164,,+,0,cds-AGU53935.1,NCBI_GP:AGU53935.1,,AGU53935.1,CDS,,,,,,,RSAU_000060,gene-RSAU_000060,putative antibiotic resistance-related transmembrane efflux protein,AGU53935.1,11,,,,
114,CP006706.1,Genbank,gene,63651,65318,,-,,gene-RSAU_000061,,,RSAU_000061,Gene,,,,,,protein_coding,RSAU_000061,,,,,,,,
115,CP006706.1,Genbank,CDS,63651,65318,,-,0,cds-AGU53936.1,NCBI_GP:AGU53936.1,,AGU53936.1,CDS,,,,,,,RSAU_000061,gene-RSAU_000061,putative Na/Pi cotransporter family protein,AGU53936.1,11,,,,
116,CP006706.1,Genbank,gene,65637,67412,,-,,gene-RSAU_000062,,,RSAU_000062,Gene,,,,,,protein_coding,RSAU_000062,,,,,,,,
117,CP006706.1,Genbank,CDS,65637,67412,,-,0,cds-AGU53937.1,NCBI_GP:AGU53937.1,,AGU53937.1,CDS,,,,,,,RSAU_000062,gene-RSAU_000062,67 kDa Myosin-crossreactive antigen,AGU53937.1,11,similar to 67 kDa Myosin-crossreactive streptococcal antigen,,,
118,CP006706.1,Genbank,gene,67764,68237,,+,,gene-RSAU_000063,,,RSAU_000063,Gene,,,,,,protein_coding,RSAU_000063,,,,,,,,
119,CP006706.1,Genbank,CDS,67764,68237,,+,0,cds-AGU53938.1,NCBI_GP:AGU53938.1,,AGU53938.1,CDS,,,,,,,RSAU_000063,gene-RSAU_000063,hypothetical protein,AGU53938.1,11,,,,
120,CP006706.1,Genbank,gene,68499,70091,,+,,gene-RSAU_000064,,,RSAU_000064,Gene,,,,,,protein_coding,RSAU_000064,,,,,,,,
121,CP006706.1,Genbank,CDS,68499,70091,,+,0,cds-AGU53939.1,NCBI_GP:AGU53939.1,,AGU53939.1,CDS,,,,,,,RSAU_000064,gene-RSAU_000064,L-lactate permease%2C putative,AGU53939.1,11,,,,
122,CP006706.1,Genbank,gene,70420,71710,,-,,gene-RSAU_000065,,,spa,Gene,,,,,spa,other,RSAU_000065,,,,,frameshift,immunoglobulin G binding protein A,,
123,CP006706.1,Genbank,gene,72095,72847,,-,,gene-RSAU_000066,,,sarS,Gene,,,,,sarS,protein_coding,RSAU_000066,,,,,,,,
124,CP006706.1,Genbank,CDS,72095,72847,,-,0,cds-AGU53940.1,NCBI_GP:AGU53940.1,,AGU53940.1,CDS,,,,,sarS,,RSAU_000066,gene-RSAU_000066,staphylococcal accessory regulator S,AGU53940.1,11,,,,
125,CP006706.1,Genbank,gene,73215,74213,,-,,gene-RSAU_000067,,,sirC,Gene,,,,,sirC,protein_coding,RSAU_000067,,,,,,,,
126,CP006706.1,Genbank,CDS,73215,74213,,-,0,cds-AGU53941.1,NCBI_GP:AGU53941.1,,AGU53941.1,CDS,,,,,sirC,,RSAU_000067,gene-RSAU_000067,iron compound ABC transporter%2C permease protein SirC,AGU53941.1,11,,,,
127,CP006706.1,Genbank,gene,74210,75205,,-,,gene-RSAU_000068,,,sirB,Gene,,,,,sirB,protein_coding,RSAU_000068,,,,,,,,
128,CP006706.1,Genbank,CDS,74210,75205,,-,0,cds-AGU53942.1,NCBI_GP:AGU53942.1,,AGU53942.1,CDS,,,,,sirB,,RSAU_000068,gene-RSAU_000068,iron compound ABC transporter%2C permease protein SirB,AGU53942.1,11,,,,
129,CP006706.1,Genbank,gene,75221,76213,,-,,gene-RSAU_000069,,,sirA,Gene,,,,,sirA,protein_coding,RSAU_000069,,,,,,,,
130,CP006706.1,Genbank,CDS,75221,76213,,-,0,cds-AGU53943.1,NCBI_GP:AGU53943.1,,AGU53943.1,CDS,,,,,sirA,,RSAU_000069,gene-RSAU_000069,iron-regulated ABC transporter%2C lipoprotein SirA,AGU53943.1,11,,,,
131,CP006706.1,Genbank,gene,76444,77424,,+,,gene-RSAU_000070,,,RSAU_000070,Gene,,,,,,protein_coding,RSAU_000070,,,,,,,,
132,CP006706.1,Genbank,CDS,76444,77424,,+,0,cds-AGU53944.1,NCBI_GP:AGU53944.1,,AGU53944.1,CDS,,,,,,,RSAU_000070,gene-RSAU_000070,putative pyridoxal-phosphate dependent cysteine synthase A protein,AGU53944.1,11,,,,
133,CP006706.1,Genbank,gene,77421,78431,,+,,gene-RSAU_000071,,,RSAU_000071,Gene,,,,,,protein_coding,RSAU_000071,,,,,,,,
134,CP006706.1,Genbank,CDS,77421,78431,,+,0,cds-AGU53945.1,NCBI_GP:AGU53945.1,,AGU53945.1,CDS,,,,,,,RSAU_000071,gene-RSAU_000071,2%2C3-diaminopropionate biosynthesis protein SbnB-like protein,AGU53945.1,11,,,,
135,CP006706.1,Genbank,gene,78452,80206,,+,,gene-RSAU_000072,,,sbnC,Gene,,,,,sbnC,protein_coding,RSAU_000072,,,,,,,,
136,CP006706.1,Genbank,CDS,78452,80206,,+,0,cds-AGU53946.1,NCBI_GP:AGU53946.1,,AGU53946.1,CDS,,,,,sbnC,,RSAU_000072,gene-RSAU_000072,IucC family siderophore biosynthesis protein,AGU53946.1,11,,,,
137,CP006706.1,Genbank,gene,80199,81455,,+,,gene-RSAU_000073,,,RSAU_000073,Gene,,,,,,protein_coding,RSAU_000073,,,,,,,,
